# WWM Custom Teleports
# 2026-03-12 13:00:00
# NAME,X,Y,Z,ZONE,CATEGORY

蘑菇11,-2801.41,-59.7087,-84.6039,Unknown,1
蘑菇12,-2661.2,42.457,-378.004,Unknown,1
蘑菇13,-2301.25,-47.0004,-548.795,Unknown,1
蘑菇14,-2254.83,23.1925,-881.602,Unknown,1
蘑菇15,-2609.4,141.242,-926.869,Unknown,1
蘑菇16,-2562.64,106.395,-1111.54,Unknown,1
蘑菇17,-2355.16,71.4754,-1092.08,Unknown,1
蘑菇18,-2156.44,60.2512,-1307.92,Unknown,1
蘑菇19,-3506.13,11.335,-2543.16,Unknown,1
蘑菇20,-3601.54,-62.2447,-2230.46,Unknown,1
蘑菇21,-3346.48,-49.0479,-1907.8,Unknown,1
蘑菇22,-3377.76,-38.6944,-1690.87,Unknown,1
蘑菇23,-3193.78,-3.5995,-1378.92,Unknown,1
蘑菇24,-3331.2,23.4519,-1143.71,Unknown,1
蘑菇25,-3592.66,76.1818,-1053.52,Unknown,1
蘑菇26,-3480.79,20.8803,-1408.73,Unknown,1
蘑菇27,-3943.32,-57.7062,-1446.41,Unknown,1
蘑菇28,-3496.57,-14.5921,-969.834,Unknown,1
蘑菇29,-3428.72,126.058,-1175.69,Unknown,1
蘑菇-会死1,-4013.36,0.306809,-986.317,Unknown,1
蜂窝1,-2757.52,-12.1418,-2500.4,Unknown,1
蜂窝2,-3028.4,-41.889,-2104.5,Unknown,1
蜂窝3,-2996.51,0.616543,-2301.04,Unknown,1
蜂窝4,-3052.58,-40.0484,-1795.8,Unknown,1
蜂窝5,-2575.14,37.6713,-1648.02,Unknown,1
蜂窝6,-2374.11,-43.7,-1637.27,Unknown,1
蜂窝7,-2938.27,-18.4061,-1673.03,Unknown,1
蜂窝8,-2836.55,-11.199,-1270.03,Unknown,1
蜂窝9,-2796.83,112.179,-1045.11,Unknown,1
蜂窝10,-3242.57,-29.9772,-1011.93,Unknown,1
蜂窝11,-2835.07,-4.97377,-382.521,Unknown,1
蜂窝12,-2839.01,-36.5696,-236.515,Unknown,1
蜂窝13,-2480.36,37.9923,-707.252,Unknown,1
蜂窝14,-2634.38,42.506,-633.091,Unknown,1
蜂窝15,-1997.73,-3.18078,-740.697,Unknown,1
蜂窝16,-2475.41,86.6199,-1058.36,Unknown,1
蜂窝17,-2046.32,8.2356,-918.66,Unknown,1
蜂窝18,-2109.99,-30.3398,-1088.55,Unknown,1
蜂窝19,-2366.75,4.62473,-1299.56,Unknown,1
蜂窝20,-2481.45,36.3279,-1246.79,Unknown,1
蜂窝21,-3655.3,-27.1197,-2485.55,Unknown,1
蜂窝22,-3194.61,0.929275,-2457.39,Unknown,1
蜂窝23,-3278.07,-35.3157,-1580.02,Unknown,1
蜂窝24,-3546.32,-48.721,-1624.98,Unknown,1
蜂窝25,-3487.92,97.9679,-1145.32,Unknown,1
蜂窝26,-3773.12,6.51728,-1420.87,Unknown,1
蜂窝27,-3656.68,59.9655,-1018.08,Unknown,1
蜂窝28,-4066.46,-57.4147,-972.644,Unknown,1
蜂窝29,-3876.53,-47.0828,-694.078,Unknown,1
蜂窝30,-3702.94,-53.79,-729.558,Unknown,1
蜂窝31,-3547.74,-38.564,-772.434,Unknown,1
螳螂1,-2949.76,-50.099,-1994.4,Unknown,1
螳螂2,-3132.18,-41.4026,-1929.52,Unknown,1
螳螂3,-2646.43,-45.5538,-1913.93,Unknown,1
螳螂4,-2829.49,-43.2695,-1657.91,Unknown,1
螳螂5,-3160.66,-49.8101,-1097.42,Unknown,1
螳螂6,-2881.86,-1.0557,-817.933,Unknown,1
螳螂7,-2884.01,-26.4809,-341.451,Unknown,1
螳螂8,-2701.84,20.8976,-473.647,Unknown,1
螳螂9,-2547.94,-38.2611,-403.296,Unknown,1
螳螂10,-2396.6,-39.0942,-532.266,Unknown,1
螳螂11,-1881.59,-29.9453,-1035.06,Unknown,1
螳螂12,-2523.04,27.0307,-829.023,Unknown,1
螳螂13,-2345.59,30.02,-861.006,Unknown,1
螳螂14,-2140.44,-49.2889,-1196.06,Unknown,1
螳螂15,-2328.25,-41.7891,-1443.82,Unknown,1
螳螂16,-2517.79,-8.73999,-1355.7,Unknown,1
螳螂17,-3758.21,-67.6298,-2555.11,Unknown,1
螳螂18,-3280.19,-1.63995,-2363.85,Unknown,1
螳螂19,-3196.96,-49.3115,-2190.37,Unknown,1
螳螂20,-3361.57,56.9996,-1320,Unknown,1
螳螂21,-3758.27,-36.1404,-1551.4,Unknown,1
螳螂22,-3906.75,-40.7945,-1043.33,Unknown,1
螳螂23,-3969.54,-45.2722,-729.217,Unknown,1
螳螂24,-3745.7,-48.1266,-820.425,Unknown,1
螳螂25,-3510.11,-57.3381,-602.339,Unknown,1
螳螂26,-3357.42,-31.6713,-971.93,Unknown,1
螳螂27,-3026.78,11.7808,-1022.52,Unknown,1
螳螂28,-3030.68,-48.7199,-299.093,Unknown,1
螳螂29,-2209.01,16.1542,-972.045,Unknown,1
螳螂30,-3127.43,-35.4763,-1331.69,Unknown,1
蛐蛐1,-3139.73,-49.4627,-2133.81,Unknown,1
蛐蛐2,-2974.96,-49.5011,-2032.63,Unknown,1
蛐蛐3,-2963.73,-47.1997,-1839.6,Unknown,1
蛐蛐4,-2655.52,14.4634,-1624.39,Unknown,1
蛐蛐5,-2781.73,-32.0384,-1575.01,Unknown,1
蛐蛐6,-2868.66,-41.928,-1345.14,Unknown,1
蛐蛐7,-2907.51,48.76,-1001.54,Unknown,1
蛐蛐8,-3125.64,-32.8151,-936.772,Unknown,1
蛐蛐9,-3134.54,-51.0818,-589.518,Unknown,1
蛐蛐10,-2957.64,5.97041,-503.243,Unknown,1
蛐蛐11,-2397.51,39.47,-919.572,Unknown,1
蛐蛐12,-2294.97,-47.4931,-1325.92,Unknown,1
蛐蛐13,-2645.59,15.3192,-1265.97,Unknown,1
蛐蛐14,-3738.46,-69.4393,-2404.57,Unknown,1
蛐蛐15,-3503.31,-1.99283,-2334.02,Unknown,1
蛐蛐16,-3328.7,-49.6818,-2042.48,Unknown,1
蛐蛐17,-3434.51,-50.8462,-2031.34,Unknown,1
蛐蛐18,-3468.78,-33.658,-1879.23,Unknown,1
蛐蛐19,-3624.66,-70.2076,-2075.09,Unknown,1
蛐蛐20,-3235.58,-42.0413,-1776.9,Unknown,1
蛐蛐21,-3727.27,-69.2647,-1801.22,Unknown,1
蛐蛐22,-3214.56,-17.8049,-1474.48,Unknown,1
蛐蛐23,-3542.14,112.422,-1314.91,Unknown,1
蛐蛐24,-3690.88,6.64111,-1474.26,Unknown,1
蛐蛐25,-3774.01,-7.91026,-1271.25,Unknown,1
蛐蛐26,-3916.96,-7.90537,-942.859,Unknown,1
蛐蛐27,-3391.05,-53.9373,-773.06,Unknown,1
蛐蛐28,-2881.56,-46.7337,-1697.69,Unknown,1
青蛙1,-2838.85,-44.3175,-1851.59,Unknown,1
